epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,337.713,0.17755,0.57945,0.96798,0.79632,0.75872,0.80092,0.78693,0.27373,0.42884,0.35701,0.000110718,0.000110718,0.000110718
121,340.479,0.1725,0.6157,0.95999,0.71627,0.81721,0.78409,0.7781,0.24245,0.41975,0.32588,0.000104537,0.000104537,0.000104537
122,343.515,0.17574,0.56332,0.96315,0.79907,0.71353,0.79074,0.78562,0.24176,0.41864,0.3251,9.85311e-05,9.85311e-05,9.85311e-05
123,346.3,0.18334,0.56376,0.95613,0.79028,0.72167,0.80753,0.8035,0.24635,0.40432,0.32661,9.2704e-05,9.2704e-05,9.2704e-05
124,349.074,0.16799,0.57007,0.94761,0.79729,0.72505,0.79861,0.79798,0.24783,0.40124,0.32014,8.70577e-05,8.70577e-05,8.70577e-05
125,351.833,0.17613,0.53956,0.95754,0.79252,0.72885,0.79829,0.7973,0.25388,0.40478,0.32711,8.15947e-05,8.15947e-05,8.15947e-05
126,354.641,0.16752,0.55721,0.94498,0.75706,0.78083,0.81935,0.80992,0.26522,0.40046,0.33389,7.63174e-05,7.63174e-05,7.63174e-05
127,357.43,0.18177,0.53006,0.96232,0.76659,0.76195,0.8092,0.8056,0.26109,0.40035,0.33202,7.12282e-05,7.12282e-05,7.12282e-05
128,360.221,0.17702,0.57448,0.95321,0.77032,0.76405,0.80743,0.80577,0.24872,0.39873,0.32022,6.63292e-05,6.63292e-05,6.63292e-05
129,362.99,0.17554,0.54094,0.95977,0.77023,0.76591,0.80123,0.79878,0.24586,0.39384,0.31719,6.16227e-05,6.16227e-05,6.16227e-05
130,365.853,0.19765,0.58587,0.95825,0.77385,0.76169,0.79325,0.79046,0.24757,0.39573,0.31955,5.71106e-05,5.71106e-05,5.71106e-05
131,368.808,0.16263,0.54928,0.944,0.76683,0.76157,0.79067,0.78886,0.23934,0.39141,0.31057,5.2795e-05,5.2795e-05,5.2795e-05
132,371.828,0.16806,0.62303,0.96489,0.78503,0.77245,0.80163,0.79297,0.23879,0.3859,0.31313,4.86777e-05,4.86777e-05,4.86777e-05
133,374.948,0.17408,0.58068,0.95579,0.78108,0.77186,0.80163,0.79297,0.2355,0.38846,0.31078,4.47606e-05,4.47606e-05,4.47606e-05
134,378.077,0.1689,0.54231,0.9501,0.75081,0.79626,0.79839,0.78949,0.24247,0.39126,0.31707,4.10454e-05,4.10454e-05,4.10454e-05
135,381.094,0.1598,0.55981,0.96134,0.75505,0.7982,0.801,0.80037,0.23482,0.39494,0.3075,3.75337e-05,3.75337e-05,3.75337e-05
136,383.939,0.19472,0.61308,0.98829,0.79274,0.7861,0.79709,0.79425,0.24381,0.39698,0.31572,3.4227e-05,3.4227e-05,3.4227e-05
137,386.712,0.1787,0.56294,0.94873,0.79762,0.78021,0.80691,0.80379,0.25067,0.40379,0.32117,3.11268e-05,3.11268e-05,3.11268e-05
138,389.488,0.18761,0.58348,0.97392,0.80444,0.77857,0.80782,0.80375,0.24345,0.4041,0.31363,2.82345e-05,2.82345e-05,2.82345e-05
139,392.258,0.19048,0.62601,0.96856,0.80296,0.78195,0.80996,0.79695,0.25712,0.40964,0.32852,2.55513e-05,2.55513e-05,2.55513e-05
140,395.04,0.19413,0.59477,0.96602,0.80692,0.76777,0.80256,0.79473,0.25806,0.4178,0.33194,2.30784e-05,2.30784e-05,2.30784e-05
141,413.463,0.13124,0.53762,0.94472,0.70402,0.77922,0.80547,0.80487,0.21854,0.38513,0.29413,2.08169e-05,2.08169e-05,2.08169e-05
142,416.227,0.12685,0.43116,0.95993,0.76603,0.69065,0.80508,0.80508,0.1929,0.3788,0.27315,1.87678e-05,1.87678e-05,1.87678e-05
143,419.224,0.10459,0.34918,0.94247,0.76852,0.6946,0.79501,0.79501,0.18964,0.38798,0.27367,1.6932e-05,1.6932e-05,1.6932e-05
144,422.001,0.10951,0.37021,0.94378,0.77822,0.68717,0.79269,0.79269,0.19041,0.39104,0.27622,1.53102e-05,1.53102e-05,1.53102e-05
145,424.754,0.09857,0.31735,0.94955,0.76548,0.68494,0.79352,0.78611,0.19775,0.3982,0.28563,1.39032e-05,1.39032e-05,1.39032e-05
146,427.552,0.10834,0.30697,0.94395,0.79469,0.6673,0.80174,0.79433,0.207,0.41326,0.29679,1.27117e-05,1.27117e-05,1.27117e-05
